Borough,Market Name,Street Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations,Food Activities for Kids,Location Point
Manhattan,Bowling Green Greenmarket,Broadway & Battery Pl,40.704549,-74.01429,"Tuesday &
Thursday",8 a.m. - 5 p.m.,Year-Round (Closed 07/04/19 & 11/28/19- open 11/26/19 & 11/27/19),Yes,Yes,No,No,"(40.704549, -74.01429)"
Brooklyn,Bartel-Pritchard Square Greenmarket,Prospect Park W & 15th St,40.661154,-73.980172,Wednesday & Sunday,(W) 8 a.m. - 3 p.m.; (S) 9 a.m.- 3 p.m.,"Wednesday: Year-Round (Closed 12/25/19 & 1/1/20); 
Sunday: 05/05/19-12/22/19",Yes,Yes (W),No,No,"(40.661154, -73.980172)"
Manhattan,Staten Island Ferry Whitehall Terminal Greenmarket,"4 South St, inside terminal",40.7016879,-74.01163113,Tuesday & Friday,8 a.m. - 7 p.m.,Year-Round,Yes,Yes,No,No,"(40.7016879, -74.01163113)"
Queens,Jackson Heights Greenmarket,34th Ave bet 79th & 80th Sts,40.753435,-73.887822,Sunday,8 a.m. - 2 p.m.,Year-Round,Yes,Yes,Yes,No,"(40.753435, -73.887822)"
Manhattan,Fulton Stall Market,Pier 17 Square,40.705799,-74.002572,Sunday,11 a.m. - 5 p.m.,,No,No,No,No,"(40.705799, -74.002572)"
Brooklyn,RB Bushwick Farmers Market at Maria Hernandez Park,Knickerbocker Ave & Starr St,40.702811,-73.92539,Saturday,9 a.m. - 4 p.m.,05/18/2019-11/30/2019,Yes,No,Yes,No,"(40.702811, -73.92539)"
Queens,Socrates Sculpture Garden,31-30 Vernon Blvd,40.768504,-73.935847,Saturday,11 a.m. - 3 p. m.,05/04/2019-10/26/2019,Yes,No,No,No,"(40.768504, -73.935847)"
Manhattan,Hamilton Heights Green Youthmarket,"Amsterdam bet W 143rd & 144th Sts, at Johnny Hartman Plaza",40.82394,-73.948552,Wednesday,10:30 a.m. - 5:30 p.m.,Year-Round,Yes,No,No,No,"(40.82394, -73.948552)"
Queens,Sunnyside Greenmarket,Skillman Ave bet 42nd & 43rd Sts,40.746999,-73.921724,Saturday,8 a.m. - 2 p.m.,Year-Round,Yes,Yes,No,No,"(40.746999, -73.921724)"
Queens,Elmhurst Hospital Greenmarket,41st Ave bet 80th & 81st Sts,40.745794,-73.885489,Tuesday,8 a.m. - 4 p.m.,06/04/19-11/26/19 (closed 11/05/19),Yes,No,No,No,"(40.745794, -73.885489)"
Bronx,Bissel Gardens Farmers Market,Baychester Ave & E 241st St,40.90152,-73.846937,Wednesday & Saturday,9 a.m. - 5 p.m.,07/06/2019-11/27/2019,No,No,No,No,"(40.90152, -73.846937)"
Manhattan,92nd Street Greenmarket,E 92nd St & 1st Ave,40.780691,-73.946592,Sunday,9 a.m. - 4 p.m.,Year-Round,Yes,No,No,No,"(40.780691, -73.946592)"
Bronx,Fordham Plaza Greenmarket,Park Ave bet E 189th St & E Fordham Rd,40.86153,-73.891063,Friday,8 a.m. - 4 p.m.,06/14/19-11/22/19,Yes,No,Yes,No,"(40.86153, -73.891063)"
Brooklyn,Project EATS Rockaway Farmstand,666 Rockaway Ave,40.663526,-73.909163,Friday,11 a.m. - 4 p.m.,,Yes,No,No,No,"(40.663526, -73.909163)"
Queens,Far Rockaway Farmstand,385 Beach 45th St,40.595612,-73.776551,Saturday,10 a.m. - 2 p.m.,07/06/2019-11/16/2019,Yes,No,No,No,"(40.595612, -73.776551)"
Manhattan,Fort Washington Greenmarket,W 168th St & Ft Washington Ave,40.842154,-73.942278,Tuesday,8 a.m. - 4 p.m.,04/28/19-11/24/2019,Yes,No,No,No,"(40.842154, -73.942278)"
Manhattan,Project Harmony People's Market,"219 W 122nd St, at Joseph Daniel Wilson Memorial Garden",40.807407,-73.950588,Thursday,10 a.m. - 7 p.m.,6/13/2019-10/31/2019,Yes,No,No,No,"(40.807407, -73.950588)"
Brooklyn,6th Ave Sunset Park Greenmarket,44th St & 6th Ave,40.647132,-74.004623,Saturday,8 a.m. - 3 p.m.,07/06/19-11/23/19,Yes,No,No,No,"(40.647132, -74.004623)"
Brooklyn,East New York Farm Stand,New Lots Ave bet Alabama & Georgia Aves,40.660828,-73.895395,Wednesday,1:30 - 6:30 p.m.,6/29/2019-11/30/2019,Yes,No,No,No,"(40.660828, -73.895395)"
Brooklyn,Wyckoff House Museum Farm Stand,5816 Clarendon Rd,40.64497,-73.920914,Saturday,11 a.m. - 3 p.m.,,No,No,No,No,"(40.64497, -73.920914)"
Bronx,Norwood Youthmarket,E Gun Hill Rd & Dekalb Ave,40.88222,-73.880458,Thursday,10 a.m. - 5 p.m.,07/11/2019-11/21/2019,Yes,No,No,No,"(40.88222, -73.880458)"
Staten Island,Staten Island Mall Greenmarket,Marsh Ave & Ring Rd,40.583804,-74.161245,Saturday,8 a.m. - 3 p.m.,Year-Round,Yes,Yes,No,No,"(40.583804, -74.161245)"
Brooklyn,Brooklyn Borough Hall Greenmarket,Court & Montague Sts,40.693722,-73.990455,"Tuesday, Thursday & Saturday",8 a.m. - 5 p.m.,Year-Round (Closed 07/04/19 & 11/28/19),Yes,Yes,No,No,"(40.693722, -73.990455)"
Manhattan,Harvest Home Harlem Hospital Farmers Market,Lenox Ave bet 135th & 137th Sts,40.814358,-73.940659,Friday,8 a.m. - 7 p.m.,07/11/2019-11/14/2019,Yes,No,No,No,"(40.814358, -73.940659)"
Brooklyn,Red Hook Farm Stand II,West 9th St & Hamilton Avenue,40.676024,-74.002318,Wednesday,12 - 7 p.m.,06/19/2019-11/20/2019,Yes,No,No,No,"(40.676024, -74.002318)"
Manhattan,Kips Bay Greenmarket,2nd Ave bet 27th & 28th Sts,40.740395,-73.979077,Thursday,8 a.m. - 5 p.m.,09/26/2019-11/21/2019,Yes,No,No,No,"(40.740395, -73.979077)"
Bronx,Harvest Home Hunts Point Farm Stand,E 163rd St & Hunts Point Ave,40.820986,-73.891613,Wednesday,8 a.m. - 4 p.m.,06/05/2019-11/20/2019,Yes,No,No,No,"(40.820986, -73.891613)"
Brooklyn,Isabahlia Farm Stand Winter Market,"93 New Lots Ave, inside greenhouse",40.657984,-73.901764,Saturday,8 a.m. - 1 p.m.,11/02/2019-12/14/2019,Yes,No,No,No,"(40.657984, -73.901764)"
Manhattan,Tribeca Greenmarket,Greenwich & Chambers Sts,40.716303,-74.010966,Wednesday & Saturday,8 a.m. - 3 p.m.,Year-Round,Yes,Yes,No,No,"(40.716303, -74.010966)"
Queens,Joseph Addabbo FHC Farm Stand,6200 Beach Channel Dr,40.593313,-73.79166,Saturday,8 a.m. - 2 p.m.,07/06/2019-11/16/2019,No,No,No,No,"(40.593313, -73.79166)"
Manhattan,Abingdon Square Greenmarket,Hudson St & W 12th St,40.737553,-74.005687,Saturday,8 a.m. - 2 p.m.,Year-Round,Yes,Yes,No,No,"(40.737553, -74.005687)"
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave & Cooper St,40.869001,-73.920896,Saturday,8 a.m. - 3 p.m.,5/16/19-11/21/19,Yes,Yes,No,No,"(40.869001, -73.920896)"
Bronx,Harvest Home St. Mary's Park Farm Stand,E 149th St & Eagle Ave,40.813884,-73.911812,Thursday,8 a.m. - 4 p.m.,07/11/2019-11/14/2019,Yes,No,No,No,"(40.813884, -73.911812)"
Queens,Queens County Farm Museum Farm Stand at Jamaica Hospital,"Jamaica Ave & Van Wyck Expwy, South Service Rd",40.702445,-73.816861,Thursday,10 a.m. - 4 p.m.,06/13/2019-11/14/2019,Yes,No,No,No,"(40.702445, -73.816861)"
Brooklyn,Flatbush Junction Youthmarket,Nostrand & Flatbush Aves,40.632886,-73.947698,Saturday,8:30 a.m. - 2 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.632886, -73.947698)"
Staten Island,Goodhue Center Go!Healthy Food Stand,301 Prospect Ave,40.638983,-74.097422,Tuesday,4 - 6 p.m.,07/08/2019-11/22/2019,Yes,No,No,No,"(40.638983, -74.097422)"
Manhattan,82nd Street Greenmarket,E 82nd St bet 1st & York Aves,40.774292,-73.951262,Saturday,9 a.m. - 2:30 p.m.,Year-Round,Yes,Yes,No,No,"(40.774292, -73.951262)"
Queens,Queens County Farm Museum Farm Stand,73-50 Little Neck Pkwy,40.748163,-73.719431,"Wednesday, Thursday, Friday, Saturday & Sunday",11 a.m. - 3 p. m.,05/15/2019-11/03/2019,Yes,No,No,No,"(40.748163, -73.719431)"
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza bet W 49th & 50th Sts (Jul-Aug only),40.759065,-73.97845,"Wednesday,
Thursday & Friday",8 a.m. - 5 p.m.,Wednesday: 07/24/19-08/28/19; Thursday: 07/25/19-08/29/19; Friday: 07/24/19-8/28/19,Yes,No,No,No,"(40.759065, -73.97845)"
Bronx,Bronx Borough Hall Greenmarket,Grand Concourse bet E 161st & 162nd Sts,40.826835,-73.922621,Tuesday,8 a.m. - 4 p.m.,06/04/19-11/26/19,Yes,No,Yes,No,"(40.826835, -73.922621)"
Brooklyn,Borough Park Greenmarket,14th Ave bet 49th & 50th Sts,40.633696,-73.989916,Thursday,8 a.m. - 3 p.m.,07/11/19-11/21/19,Yes,No,No,No,"(40.633696, -73.989916)"
Brooklyn,Brownsville Pitkin Youthmarket,Pitkin Ave & Thomas Boyland St,40.669264,-73.913554,Saturday,9 a.m. - 2 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.669264, -73.913554)"
Brooklyn,Harvest Home Brower Park Farm Stand,Brooklyn Ave & Prospect Pl,40.674007,-73.944544,Thursday,8 a.m. - 4 p.m.,06/06/2019-11/14/2019,Yes,No,No,No,"(40.674007, -73.944544)"
Brooklyn,Red Hook Farm Stand,560 Columbia St,40.672524,-74.00871,Saturday,10 a.m. - 3 p.m.,06/22/2019-11/23/2019,Yes,No,No,No,"(40.672524, -74.00871)"
Bronx,Lincoln Hospital Greenmarket,E 149th St bet Park & Morris Aves,40.818013,-73.925185,"Tuesday &
Friday",8 a.m. - 3 p.m.,"Tuesday: 07/2/19-11/5/19 (Closed 11/5/19); 
Friday: 06/28/19-11/22/19",Yes,No,No,No,"(40.818013, -73.925185)"
Bronx,Parkchester Greenmarket,Westchester Ave & White Plains Rd,40.833992,-73.862148,Friday,8 a.m. - 4 p.m.,06/14/19-11/27/19 (11/29 rescheduled to 11/27),Yes,No,Yes,No,"(40.833992, -73.862148)"
Brooklyn,Grand Army Plaza Greenmarket,"Flatbush Ave & Prospect Park W, at Prospect Park’s NW Entrance",40.663812,-73.962866,Saturday,8 a.m. - 4 p.m.,Year-Round,Yes,Yes,No,No,"(40.663812, -73.962866)"
Brooklyn,Park Slope's Down to Earth Farmers Market,4th St & 5th Ave,40.672194,-73.983785,Sunday,10 a.m. - 5 p.m.,Year-Round (summer hours being 05/05/19-11/24/19),Yes,Yes,No,No,"(40.672194, -73.983785)"
Queens,Flushing Greenmarket,"Kissena Blvd & Maple Ave, at Maple Playground",40.756357,-73.825773,Wednesday,8 a.m. - 3 p.m.,07/03/19-11/27/19,Yes,No,Yes,No,"(40.756357, -73.825773)"
Brooklyn,4th Ave Sunset Park Greenmarket,4th Ave bet 59th & 60th Sts,40.641435,-74.017815,Saturday,8 a.m. - 3 p.m.,07/06/19-11/23/19,Yes,No,Yes,No,"(40.641435, -74.017815)"
Manhattan,57th Street Greenmarket,W 57th St & 10th Ave,40.769117,-73.988559,"Wednesday &
Saturday",8 a.m. - 5 p.m.,06/27/19-11/21/19 (Closed 07/04/19),Yes,No,No,No,"(40.769117, -73.988559)"
Bronx,Harvest Home North Central Bronx Farmers Market,Mosholu Pkwy & Jerome Ave,40.879749,-73.884661,Wednesday,8 a.m. - 4 p.m.,06/19/2019-11/19/2019,Yes,No,No,No,"(40.879749, -73.884661)"
Brooklyn,Isabahlia Farmers Market,410 Livonia Ave,40.663532,-73.902236,Saturday,8 a.m. - 3 p.m.,06/29/2019-10/26/2019,Yes,No,No,No,"(40.663532, -73.902236)"
Brooklyn,Hattie Carthan After Church Farmers Market,49 Van Buren St,40.690036,-73.943557,Sunday,1 - 6 p.m.,08/04/2019-11/17/2019,Yes,No,No,No,"(40.690036, -73.943557)"
Manhattan,Gouverneur Health Youthmarket,Madison St bet Clinton & Jefferson Sts,40.712905,-73.986928,Thursday,8:30 a.m. - 2 p.m.,06/04/19-11/26/19,Yes,No,No,No,"(40.712905, -73.986928)"
Queens,Brooklyn Grange Farm Stand at Long Island City,37-18 Northern Blvd (Rooftop),40.752096,-73.925887,Saturday,11 a.m. - 4 p.m.,05/25/19-10/26/19,Yes,No,No,No,"(40.752096, -73.925887)"
Manhattan,Columbia University Greenmarket,Broadway & W 114th St,40.806707,-73.964849,Thursday & Sunday,8 a.m. - 5 p.m.,Year-Round (Closed 07/04/19 & 11/28/19- open 11/26/19),Yes,Yes,No,No,"(40.806707, -73.964849)"
Manhattan,175th Street Greenmarket,W 175th St bet Wadsworth Ave & Broadway,40.845948,-73.937811,Thursday,8 a.m. - 4 p.m.,Year-Round,Yes,No,Yes,No,"(40.845948, -73.937811)"
Bronx,Friends of Van Cortlandt Park Amalgamated Housing Youth Farmstand,Orloff Ave & Gale Pl,40.884532,-73.892172,Wednesday,2 - 7 p.m.,07/10/2019-08/21/2019,Yes,No,No,No,"(40.884532, -73.892172)"
Brooklyn,East New York Farmers Market,Schenck Ave bet New Lots & Livonia Aves,40.665296,-73.886557,Saturday,9 a.m. - 3 p.m.,07/05/2019-10/30/2019,Yes,No,Yes,No,"(40.665296, -73.886557)"
Manhattan,Lower East Side Youthmarket,Grand Ave bet Pitt & Willet Sts,40.714932,-73.983338,Thursday,8 a.m. - 3 p.m.,Year-Round,Yes,No,No,No,"(40.714932, -73.983338)"
Manhattan,PS 11 Farm Market,W 21st St bet 8th & 9th Aves,40.744006,-73.999415,Wednesday,8-10 a.m.,06/05/2019-11/13/2019 (Open through summer),No,No,No,No,"(40.744006, -73.999415)"
Manhattan,Harvest Home East Harlem Farmers Market,104th St & 3rd Ave,40.790253,-73.945635,Thursday,8 a.m. - 4 p.m.,06/04/2019-11/19/2019,Yes,No,No,No,"(40.790253, -73.945635)"
Brooklyn,Saratoga Farm Stand,2046-2050 Fulton St,40.678543,-73.915816,Saturday,9 a.m. - 2 p.m.,07/06/2019-11/16/2019,Yes,No,No,No,"(40.678543, -73.915816)"
Manhattan,Tompkins Square Greenmarket,E 7th St & Avenue A,40.726054,-73.983534,Sunday,9 a.m. - 6 p.m.,Year-Round,Yes,Yes,No,No,"(40.726054, -73.983534)"
Queens,Ridgewood Youthmarket,Cypress Ave bet Myrtle & Putnam Aves,40.700123,-73.90621,Saturday,8 a.m. - 3 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.700123, -73.90621)"
Staten Island,HEALTH for Youths Farm Stand,Clyde Pl bet Prospect & Harvard Aves,40.6399,-74.090293,Sunday,11:30 a.m. - 2 p.m.,04/28/2019-11/24/2019,No,No,No,No,"(40.6399, -74.090293)"
Bronx,Bronx Family Center Go!Healthy Farm Stand,1515 Southern Blvd,40.833734,-73.889934,Thursday,9:30 a.m. - 3:30 p.m.,07/11/2019-11/21/2019,Yes,No,No,Yes,"(40.833734, -73.889934)"
Manhattan,City Hall Greenmarket,Broadway & Chambers St,40.714165,-74.006309,Tuesday & Friday,8 a.m. - 4 p.m.,Year-Round (Closed 11/28/19- open 11/26/19 & 11/27/19),Yes,Yes,No,No,"(40.714165, -74.006309)"
Brooklyn,Carroll Gardens Greenmarket,Carroll St bet Smith & Court Sts,40.68106,-73.996528,Sunday,8 a.m. - 2 p.m.,Year-Round (Closed 04/21/19),Yes,Yes,No,No,"(40.68106, -73.996528)"
Queens,Corona Greenmarket,Roosevelt Ave & 104th St,40.749811,-73.861668,Friday,8 a.m. - 3 p.m.,06/21/19-11/22/19,Yes,No,Yes,No,"(40.749811, -73.861668)"
Queens,Jamaica's Down to Earth Farmers Market- Saturday market,160th St & Jamaica Ave,40.703752,-73.799149,Saturday,8:30 a.m. - 4 p.m.,6/15/19-11/23/19,Yes,No,No,No,"(40.703752, -73.799149)"
Brooklyn,Harvest Home Kings County Hospital Farmers Market,Clarkson Ave bet E 37th & 38th Sts,40.655828,-73.943355,Wednesday,8 a.m. - 4 p.m.,06/05/2019-11/20/2019,Yes,No,No,No,"(40.655828, -73.943355)"
Brooklyn,RB Pop Up Farm Stand,215 Cooper St,40.689879,-73.905298,Thursday,12 - 5 p.m.,05/23/2019-11/21/2019,Yes,No,No,No,"(40.689879, -73.905298)"
Bronx,Mott Haven Farmers Market,545 E 142nd St,40.809973,-73.916434,Monday,9 a.m. - 3 p.m.,07/08/2019-11/18/2019,Yes,No,No,No,"(40.809973, -73.916434)"
Manhattan,Hudson Yards Down to Earth Farmers Market,W 34th St & Hudson Blvd East,40.755158,-74.000502,Thursday,8:30 a.m. - 4 p.m.,06/04/2019-11/15/2019,Yes,No,No,No,"(40.755158, -74.000502)"
Brooklyn,Hattie Carthan Community Farmers Market,Marcy Ave & Clifton Pl,40.689511,-73.948039,Saturday,9 a.m. - 3 p.m.,07/13/2019-11/16/2019,Yes,No,No,No,"(40.689511, -73.948039)"
Brooklyn,South Williamsburg Greenmarket,Taylor St & Lee Ave,40.706998,-73.961364,Thursday,8 a.m. - 4 p.m.,07/11/19-11/28/19 (Closed 11/28/19 rescheduled 11/26/19),Yes,No,No,No,"(40.706998, -73.961364)"
Bronx,Learn It Grow It Eat It Youthmarket,"E 169th St & Boston Rd, at McKinley Square",40.831117,-73.90071,Wednesday,10 a.m. -3 p.m.,07/10/2019-11/27/2019,Yes,No,No,No,"(40.831117, -73.90071)"
Queens,Queens Botanical Garden's Down to Earth Farmers Market,82 Dahlia Ave,40.75186,-73.826362,Friday,8:30 a.m. - 4 p.m.,6/14/19-11/22/19,Yes,No,No,No,"(40.75186, -73.826362)"
Brooklyn,Bensonhurst Greenmarket,81st St & 18th Ave,40.609951,-73.999456,Sunday,9 a.m.  - 4 p.m.,06/02/19-11/24/19,Yes,No,No,No,"(40.609951, -73.999456)"
Bronx,Harvest Home Mt. Eden Farmers Market,Mt Eden & Morris Aves,40.842924,-73.909558,Tuesday & Thursday,8 a.m. - 4 p.m.,06/11/2019-11/19/2019,Yes,No,No,No,"(40.842924, -73.909558)"
Manhattan,79th Street Greenmarket,Columbus Ave bet W 78th & 81st Sts,40.781274,-73.975995,Sunday,9 a.m. - 5 p.m.,"Wednesday: 05/30/19-11/21/19; 
Saturday: 06/02/19-11/17/19",Yes,Yes,No,No,"(40.781274, -73.975995)"
Brooklyn,Graham Avenue Farmers Market,Cook St & Graham Ave,40.702345,-73.942381,Saturday,8 a.m. - 5 p.m.,07/06/2019-10/26/2019,Yes,No,Yes,No,"(40.702345, -73.942381)"
Manhattan,Milbank Center Go!Healthy Farm Stand,18-32 W 118th St,40.802317,-73.946351,Wednesday,3:30 - 6 p.m.,07/11/2019-11/21/2019,Yes,No,No,No,"(40.802317, -73.946351)"
Manhattan,Grass Roots Farmers Market,"W 145th St bet Edgecombe & Bradhurst Aves, at Jackie Robinson Park",40.823647,-73.943844,"Tuesday &
Saturday",9 a.m. - 4 p.m.,07/11/2019-11/21/2019,Yes,No,No,No,"(40.823647, -73.943844)"
Manhattan,PS 57 Youthmarket,E 115th St & 3rd Ave,40.797261,-73.940519,Wednesday,9 a.m. - 4 p.m.,07/10/2019-11/27/2019,Yes,No,No,No,"(40.797261, -73.940519)"
Brooklyn,Edible Schoolyard NYC's Farm Stand at PS 216,E 1st St & Avenue X,40.590649,-73.969298,Friday,1:45-2:45 p.m.,05/03/2019-06/28/2019; 09/06/2019-11/22/2019,Yes,No,No,No,"(40.590649, -73.969298)"
Bronx,St. Barnabas Hospital Farm Stand,4487 3rd Ave,40.853237,-73.891742,Wednesday,9 a.m.  - 5 p.m.,,Yes,No,No,No,"(40.853237, -73.891742)"
Brooklyn,Kensington Youthmarket,McDonald Ave & Albemarle Rd,40.64511,-73.979882,Saturday,8 a.m. - 3 p.m.,07/13/2019-11/23/2019,Yes,No,No,No,"(40.64511, -73.979882)"
Queens,Cunningham Park's Down to Earth Farmers Market,Union Tpk & 196 Pl,40.731082,-73.773997,Sunday,9 a.m. - 2 p.m.,5/12/19-11/24/19,Yes,No,No,No,"(40.731082, -73.773997)"
Bronx,Poe Park Greenmarket,E 192 St & Grand Concourse,40.864216,-73.895795,Tuesday,8 a.m. - 3 p.m.,06/25/19-11/26/19,Yes,No,Yes,No,"(40.864216, -73.895795)"
Bronx,Harvest Home Co-op City Farm Stand,Asch Loop & Aldrich St,40.870249,-73.830963,Wednesday,8 a.m. - 4 p.m.,06/05/2019-11/20/2019,Yes,No,No,No,"(40.870249, -73.830963)"
Manhattan,97th Street Greenmarket,W 97th St bet Columbus & Amsterdam Aves,40.793558,-73.967016,Friday,8 a.m. - 2 p.m.,06/24/19-11/18/19,Yes,Yes,No,No,"(40.793558, -73.967016)"
Queens,Forest Hills Greenmarket,70th Ave & Queens Blvd,40.72188,-73.846383,Sunday,8 a.m. - 2 p.m.,Year-Round,Yes,Yes,No,No,"(40.72188, -73.846383)"
Brooklyn,McGolrick Park's Down to Earth Farmers Market,"Russell St & Nassau Ave, center of park",40.725617,-73.944497,Sunday,10 a.m. - 4 p.m.,5/12/19-11/24/19,Yes,No,No,No,"(40.725617, -73.944497)"
Manhattan,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,40.752999,-73.969887,Wednesday,8 a.m. - 4 p.m.,Year-Round (Closed 09/26/19 & 11/25/19),Yes,Yes,No,No,"(40.752999, -73.969887)"
Brooklyn,Cortelyou Greenmarket,Cortelyou & Rugby Rds,40.640825,-73.965301,Sunday,8 a.m. - 3 p.m.,Year-Round,Yes,Yes,No,No,"(40.640825, -73.965301)"
Brooklyn,Bay Ridge Greenmarket,95th St & 3rd Ave,40.617278,-74.033588,Saturday,8 a.m. - 3 p.m.,05/04/19-11/23/19,Yes,No,No,No,"(40.617278, -74.033588)"
Brooklyn,High School for Public Service Youth Farm Farmers Market,600 Kingston Ave,40.658893,-73.942458,Wednesday & Saturday,(W) 2:30-6:30 p.m.; (S) 12 - 4 p.m.,(W): 06/19/2019-10/30/2019; (S): 07/13/2019-08/03/2019,Yes,No,No,No,"(40.658893, -73.942458)"
Bronx,Morning Glory Market at the New York Botanical Gardens,2900 Southern Blvd,40.865684,-73.883312,Wednesday,9 a.m. - 3 p.m.,06/12/2019-10/31/2019,Yes,No,No,No,"(40.865684, -73.883312)"
Manhattan,Stuyvesant Town Greenmarket,"E 14th St Loop & Avenue A, in the Oval",40.730443,-73.980339,Sunday,9:30 a.m. - 4 p.m.,05/19/19-12/22/19,Yes,No,No,No,"(40.730443, -73.980339)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,40.832331,-73.91959,Thursday,10 a.m. -4 p.m.,07/08/2019-11/22/2019,Yes,No,No,No,"(40.832331, -73.91959)"
